0     DEBUG [main] org.fireinsight.util.Props - Props: envPropFileName : null
0     DEBUG [main] org.fireinsight.util.Props - Props: Using default env file: /props/env/dev/scriptinsight.properties
16    DEBUG [main] org.fireinsight.util.Props - Props: Request for property [IgnoreList=http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/dojo.js]
16    DEBUG [main] org.fireinsight.util.Props - Props: Request for property [ProxyServerPort=2554]
16    DEBUG [main] org.fireinsight.util.Props - Props: Request for property [TaskPoolSize=20]
281047 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
281047 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: public,max-age=21600
281047 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Content-Type: application/vnd.google.safebrowsing-chunk
281047 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:14:00 GMT
281047 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Server: Chunked Update Server
281047 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                X-XSS-Protection: 0
345141 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler - >> Request [http://safebrowsing-cache.google.com/safebrowsing/rd/ChNnb29nLW1hbHdhcmUtc2hhdmFyEAAYoY0BIPCNATIPoUYAAP____-f-P7___8A]
345141 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
345141 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
345141 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
345141 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                               Host: safebrowsing-cache.google.com
345141 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
345141 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
345141 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
345141 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
345141 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
345141 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
345141 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
345141 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                               Cookie: PREF=ID=79be1ebc890d2b48:TM=1265875951:LM=1265875951:S=saE0mDfDdDIpGND9
345141 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
345141 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
345141 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: public,max-age=21600
345141 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                                Content-Type: application/vnd.google.safebrowsing-chunk
345141 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:15:05 GMT
345141 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                                Server: Chunked Update Server
345141 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                                X-XSS-Protection: 0
348110 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler - >> Request [http://safebrowsing-cache.google.com/safebrowsing/rd/ChNnb29nLW1hbHdhcmUtc2hhdmFyEAAY8Y0BIMCOASoFQEcAAAEyDvFGAAD___________9_]
348110 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
348110 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
348110 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
348110 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Host: safebrowsing-cache.google.com
348110 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
348110 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
348110 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
348110 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
348110 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
348110 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
348110 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
348110 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Cookie: PREF=ID=79be1ebc890d2b48:TM=1265875951:LM=1265875951:S=saE0mDfDdDIpGND9
348110 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
348110 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
348110 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: public,max-age=21600
348110 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                Content-Type: application/vnd.google.safebrowsing-chunk
348110 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:15:08 GMT
348110 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                Server: Chunked Update Server
348110 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                X-XSS-Protection: 0
349844 INFO  [pool-1-thread-13] org.fireinsight.proxy.ProxyHandler - >> Request [http://safebrowsing-cache.google.com/safebrowsing/rd/ChFnb29nLXBoaXNoLXNoYXZhchABGO6mAyDypgMyBW7TAAAf]
349844 INFO  [pool-1-thread-13] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
349844 INFO  [pool-1-thread-13] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
349844 INFO  [pool-1-thread-13] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
349844 INFO  [pool-1-thread-13] org.fireinsight.proxy.ProxyHandler -                               Host: safebrowsing-cache.google.com
349844 INFO  [pool-1-thread-13] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
349844 INFO  [pool-1-thread-13] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
349844 INFO  [pool-1-thread-13] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
349844 INFO  [pool-1-thread-13] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
349844 INFO  [pool-1-thread-13] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
349844 INFO  [pool-1-thread-13] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
349844 INFO  [pool-1-thread-13] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
349844 INFO  [pool-1-thread-13] org.fireinsight.proxy.ProxyHandler -                               Cookie: PREF=ID=79be1ebc890d2b48:TM=1265875951:LM=1265875951:S=saE0mDfDdDIpGND9
349844 INFO  [pool-1-thread-13] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
349844 INFO  [pool-1-thread-13] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
349844 INFO  [pool-1-thread-13] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: public,max-age=21600
349844 INFO  [pool-1-thread-13] org.fireinsight.proxy.ProxyHandler -                                Content-Type: application/vnd.google.safebrowsing-chunk
349844 INFO  [pool-1-thread-13] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:15:09 GMT
349844 INFO  [pool-1-thread-13] org.fireinsight.proxy.ProxyHandler -                                Server: Chunked Update Server
349844 INFO  [pool-1-thread-13] org.fireinsight.proxy.ProxyHandler -                                X-XSS-Protection: 0
349938 INFO  [pool-1-thread-14] org.fireinsight.proxy.ProxyHandler - >> Request [http://safebrowsing-cache.google.com/safebrowsing/rd/ChFnb29nLXBoaXNoLXNoYXZhchABGPOmAyD3pgMyBXPTAAAf]
349938 INFO  [pool-1-thread-14] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
349938 INFO  [pool-1-thread-14] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
349938 INFO  [pool-1-thread-14] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
349938 INFO  [pool-1-thread-14] org.fireinsight.proxy.ProxyHandler -                               Host: safebrowsing-cache.google.com
349938 INFO  [pool-1-thread-14] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
349938 INFO  [pool-1-thread-14] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
349938 INFO  [pool-1-thread-14] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
349938 INFO  [pool-1-thread-14] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
349938 INFO  [pool-1-thread-14] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
349938 INFO  [pool-1-thread-14] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
349938 INFO  [pool-1-thread-14] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
349938 INFO  [pool-1-thread-14] org.fireinsight.proxy.ProxyHandler -                               Cookie: PREF=ID=79be1ebc890d2b48:TM=1265875951:LM=1265875951:S=saE0mDfDdDIpGND9
349938 INFO  [pool-1-thread-14] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
349938 INFO  [pool-1-thread-14] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
349938 INFO  [pool-1-thread-14] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: public,max-age=21600
349938 INFO  [pool-1-thread-14] org.fireinsight.proxy.ProxyHandler -                                Content-Type: application/vnd.google.safebrowsing-chunk
349938 INFO  [pool-1-thread-14] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:15:09 GMT
349938 INFO  [pool-1-thread-14] org.fireinsight.proxy.ProxyHandler -                                Server: Chunked Update Server
349938 INFO  [pool-1-thread-14] org.fireinsight.proxy.ProxyHandler -                                X-XSS-Protection: 0
350016 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler - >> Request [http://safebrowsing-cache.google.com/safebrowsing/rd/ChFnb29nLXBoaXNoLXNoYXZhchABGPimAyD8pgMyBXjTAAAf]
350016 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
350016 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
350016 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
350016 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Host: safebrowsing-cache.google.com
350016 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
350031 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
350031 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
350031 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
350031 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
350031 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
350031 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
350031 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Cookie: PREF=ID=79be1ebc890d2b48:TM=1265875951:LM=1265875951:S=saE0mDfDdDIpGND9
350031 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
350031 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
350031 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: public,max-age=21600
350031 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                Content-Type: application/vnd.google.safebrowsing-chunk
350031 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:15:10 GMT
350031 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                Server: Chunked Update Server
350031 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                X-XSS-Protection: 0
350125 INFO  [pool-1-thread-16] org.fireinsight.proxy.ProxyHandler - >> Request [http://safebrowsing-cache.google.com/safebrowsing/rd/ChFnb29nLXBoaXNoLXNoYXZhchABGP2mAyCQpwMyB33TAAD__w8]
350125 INFO  [pool-1-thread-16] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
350125 INFO  [pool-1-thread-16] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
350125 INFO  [pool-1-thread-16] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
350125 INFO  [pool-1-thread-16] org.fireinsight.proxy.ProxyHandler -                               Host: safebrowsing-cache.google.com
350125 INFO  [pool-1-thread-16] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
350125 INFO  [pool-1-thread-16] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
350125 INFO  [pool-1-thread-16] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
350125 INFO  [pool-1-thread-16] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
350125 INFO  [pool-1-thread-16] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
350125 INFO  [pool-1-thread-16] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
350125 INFO  [pool-1-thread-16] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
350125 INFO  [pool-1-thread-16] org.fireinsight.proxy.ProxyHandler -                               Cookie: PREF=ID=79be1ebc890d2b48:TM=1265875951:LM=1265875951:S=saE0mDfDdDIpGND9
